,Words,Frequency
16162,мощные,36
16163,иммунодефицитом,135
16164,серопозитивности,16
16165,выработался,33
16166,перенесенном,24
16167,дети-варианта,13
16168,индиец,18
16169,работники,324
16170,допускают,54
16171,завышены,8
16172,занижены,32
16173,онкозаболеваниями,357
16174,трансплантация,182
16175,критическом,132
16176,выздоровели,330
16177,41-летний,9
16178,бухгалтер,9
16179,отчёте,12
16180,нулевой,14
16181,заявлял,77
16182,22-го,5
16183,путаница,16
16184,предполагаемого,120
16185,нулевого,16
16186,стоматологическую,17
16187,многочисленных,224
16188,отчёту,6
16189,уоробей,7
16190,пересмотрел,11
16191,хронологию,10
16192,вероятную,18
16193,нулевую,7
16194,пациентку,54
16195,работавшая,10
16196,продавцом,9
16197,морепродуктов,26
16198,заболевшая,20
16199,выхода,72
16200,уробея,6
16201,дасзак,6
16202,дата,20
16203,дюжины,6
16204,упоминаний,10
16205,необычной,18
16206,ухани,25
16207,злополучным,11
16208,рынком,18
16209,слышать,42
16210,уханьский,9
16211,прямого,105
16212,параллели,36
16213,вспышкой,48
16214,родственными,24
16215,передались,20
16216,локальной,18
16217,заразилось,30
16218,рынки,15
16219,продавать,45
16220,заразы,24
16221,несвязанных,11
16222,живое,30
16223,млекопитающее,13
16224,протестировано,56
16225,продезинфицировали,18
16226,молодежь,72
16227,поколением,10
16228,детство,7
16229,счастливее,20
16230,здравоохранении,105
16231,образовании,88
16232,сфере,175
16233,улучшились,70
16234,росли,10
16235,бедных,60
16236,оптимизм,96
16237,наивны,6
16238,глобальных,70
16239,перспектив,20
16240,юнисеф,24
16241,молодёжьзначительно,19
16242,респондентами,13
16243,нервозность,11
16244,что-либо,40
16245,беспокоится,11
16246,климатические,26
16247,серьёзной,9
16248,сексуального,72
16249,насилия,28
16250,издевательства,42
16251,скептически,77
16252,одобряют,16
16253,мировыми,24
16254,угрозами,24
16255,климата,77
16256,катастроф,81
16257,действовали,66
16258,сообща,30
16259,пессимизма,10
16260,нищета,6
16261,неравенство,33
16262,растущее,40
16263,усиливающийся,26
16264,национализм,11
16265,оптимизма,81
16266,мрачную,7
16267,призму,12
16268,генриетта,18
16269,фор,6
16270,слабые,66
16271,козыри,6
16272,инвестиций,90
16273,рфпи,24
16274,кирилл,18
16275,дмитриев,8
16276,заявка,12
16277,иностранного,48
16278,поступила,63
16279,партнером,45
16280,комбинированного,80
16281,р-фарм,18
16282,экспорта,8
16283,объёмы,6
16284,гендиректор,33
16285,василий,77
16286,игнатьев,8
16287,планов,36
16288,выпускать,90
16289,зарубежную,50
16290,телеграм-канала,15
16291,рецепта,63
16292,козырь,12
16293,разрешил,48
16294,лайт,28
16295,коктейля,40
16296,британо-шведская,16
16297,паритета,8
16298,евросоюзе,45
16299,обещаний,8
16300,завершить,45
16301,краткие,14
16302,колокольни,10
16303,завершению,10
16304,признанию,18
16305,продемонстрировать,108
16306,готовность,80
16307,зарегистрировать,32
16308,разработанной,117
16309,аналитической,39
16310,беспалов,16
16311,маловероятно,120
16312,организован,55
16313,популяциях,60
16314,политизирован,13
16315,предпосылок,22
16316,бесперебойных,13
16317,дешёвым,7
16318,потребителя,22
16319,придерживается,84
16320,молекулярно-генетических,96
16321,исаев,30
16322,этиотропных,22
16323,наука,130
16324,продвинулась,24
16325,созданные,72
16326,сомнительную,12
16327,полечиться,10
16328,паксловидом,11
16329,арбидолом,36
16330,разве,70
16331,спекулятивных,13
16332,заинтересован,52
16333,конкуренцию,22
16334,австралии,306
16335,мытья,40
16336,дистанцирования,285
16337,исследовались,65
16338,полумиллиона,120
16339,дистанцирование,300
16340,окончательных,52
16341,всё,39
16342,мыло,12
16343,пена,4
16344,бритья,6
16345,чулок,5
16346,лайфхаки,8
16347,избавят,7
16348,дискомфорта,33
16349,учёным,12
16350,границ,36
16351,серьёзных,18
16352,дизайне,14
16353,проанализированных,54
16354,респиратора,55
16355,кристофера,20
16356,фоули,10
16357,натуропата,30
16358,гомеопата,18
16359,заметных,40
16360,ковид-диссидентов,51
16361,миннесота,9
16362,акций,30
16363,протестов,9
16364,смертоносной,36
16365,называл,28
16366,экспериментом,39
16367,предлагал,18
16368,высокими,88
16369,манчестерского,56
16370,британцев,108
16371,пцр-тестом,70
16372,учёные,60
16373,спровоцированы,28
16374,постоянным,110
16375,неопределенностью,17
16376,сомкнуть,8
16377,бессонницу,60
16378,лишить,12
16379,лишила,6
16380,сложностях,20
16381,засыпанием,20
16382,мокроты,98
16383,гнойной,21
16384,стремительное,39
16385,распространённым,16
16386,рентгеновского,28
16387,снимка,12
16388,посева,24
16389,рентгене,8
16390,двусторонняя,24
16391,интерстициального,17
16392,рисунка,7
16393,мелкоочаговых,13
16394,теней,5
16395,долях,5
16396,неявными,8
16397,информативным,26
16398,одностороннюю,13
16399,локализацию,33
16400,участке,42
16401,яркой,20
16402,картиной,24
16403,кульдибаева,11
16404,алина,5
16405,талгатовна,10
16406,ковидную,16
16407,алины,5
16408,кульдибаевой,12
16409,воспалено,9
16410,лёгкое,18
16411,учащёенные,10
16412,возможна,208
16413,тяжёлым,14
16414,двустороннее,36
16415,хрипы,5
16416,присоединения,39
16417,приступообразный,16
16418,густой,18
16419,приём,10
16420,бесполезен,30
16421,велика,108
16422,завершены,72
16423,звоночках,9
16424,сигнализируют,13
16425,опасном,14
16426,назначен,40
16427,ухудшились,30
16428,своём,20
16429,стероидно-индуцированный,24
16430,дексаметазоном,28
16431,тяжёлых,14
16432,веским,6
16433,доказательством,90
16434,кортикостероидом,16
16435,кортикостероид,28
16436,уменьшения,160
16437,пятую,20
16438,всём,8
16439,субъектам,27
16440,неоднородная,12
16441,ленобласти,10
16442,северо-кавказском,68
16443,уральском,27
16444,южном,35
16445,пцр-положительных,17
16446,взятых,96
16447,проб,12
16448,россияне,208
16449,снизившийся,11
16450,постепенного,36
16451,тренд,10
16452,понижение,9
16453,начался,105
16454,„отлив,6
16455,две–три,7
16456,тяжёлые,7
16457,начнут,72
16458,умирать,84
16459,увидим,30
16460,плато,20
16461,последует,36
16462,продолжалась,48
16463,имела,40
16464,длинный,42
16465,хвост,10
16466,случаям,42
16467,прибавились,11
16468,прогнозы,152
16469,сдержанного,11
16470,весенних,16
16471,понемногу,18
16472,спад,48
16473,этиотропного,36
16474,нацеленных,30
16475,скончалось,70
16476,эндотелиальные,42
16477,выстилают,36
16478,внутреннюю,60
16479,кровеносных,220
16480,сужение,21
16481,компонентом,88
16482,гематоэнцефалического,84
16483,барьера,56
16484,эндотелия,81
16485,потоко-опосредованной,21
16486,дилатации,9
16487,предполагает,324
16488,нагрузочный,11
16489,сосуда,54
16490,манжеты,7
16491,креатинина,50
16492,тромбоцитов,77
16493,расширения,140
16494,сужения,28
16495,маркёра,7
16496,фильтрационной,14
16497,коррелирует,44
16498,тучных,6
16499,повышена,48
16500,эндотелиальная,28
16501,комбинацию,90
16502,безнаказанно,12
16503,курят,120
16504,пачке,15
16505,беломора,8
16506,победившие,10
16507,годам,95
16508,обращений,63
16509,сердечно-сосудистым,228
16510,пережившие,60
16511,лимфому,14
16512,лейкемии,64
16513,связывают,351
16514,стероидами,20
16515,распространённых,16
16516,психологическая)помощь,22
16517,антидепрессанты,135
16518,счёт,16
16519,противовоспалительного,22
16520,ингибиторов,110
16521,обратного,27
16522,захвата,28
16523,серотонина,50
16524,флувоксамин,33
16525,относительный,65
16526,антидепрессанта,45
16527,получающих,160
16528,стэнфордского,65
16529,флуоксетин,30
16530,сиозс,20
16531,антидепрессантов,128
16532,когорты,56
16533,расовых,28
16534,уверенностью,120
16535,марина,72
16536,сирота,6
16537,многоцентровом,42
16538,вены,48
16539,австрии,63
16540,низкомолекулярного,18
16541,антикоагулянты,98
16542,антагонистами,13
16543,апиксабан,18
16544,ривароксабан,24
16545,снижал,42
16546,д-димера,8
16547,фибрина,7
16548,присутствует,204
16549,разрушения,70
16550,удивлены,24
16551,низкомолекулярный,34
16552,необходимым,220
16553,антикоагулянт,52
16554,предотвращая,72
16555,канады,114
16556,профилактической,496
16557,терапевтической,165
16558,снизили,77
16559,сказались,18
16560,уменьшали,18
16561,усилились,54
16562,приступами,20
16563,вызывали,72
16564,погас,5
16565,расстройстве,108
16566,серьезнее,81
16567,испытывающие,12
16568,подавленными,12
16569,увидеть,182
16570,связанными,150
16571,гипоксией,18
16572,прогрессированием,51
16573,гипоксического,14
16574,необходимый,154
16575,оценила,42
16576,третья,102
16577,заявки,36
16578,подали,24
16579,учащихся,144
16580,участвовать,209
16581,пригласят,18
16582,исследовательский,102
16583,уточнения,126
16584,объяснили,90
16585,заполнять,54
16586,дневник,28
16587,самонаблюдения,14
16588,подростком,10
16589,доброволец,70
16590,участникам,260
16591,плацебо-группы,14
16592,введут,6
16593,продолжат,45
16594,плану,25
16595,добровольцам,84
16596,предложат,36
16597,иммуногенность,42
16598,определяющий,12
16599,сдадут,6
16600,рассчитать,120
16601,бостона,28
16602,астму,25
16603,обе,99
16604,исследуемые,77
16605,побудили,16
16606,циклесонида,11
16607,кортикостероида,30
16608,препринтов,150
16609,14-му,5
16610,дню,51
16611,симптоматического,17
16612,открытых,104
16613,позитивного,55
16614,стандартным,110
16615,получавшими,22
16616,ингалятор,18
16617,прогрессировании,32
16618,будесонид,18
16619,схемы,165
16620,гете,4
16621,бактериальные,156
16622,болезнетворными,15
16623,агентами,32
16624,отложена,16
16625,отсрочка,40
16626,оказала,28
16627,завершил,16
16628,повышенные,80
16629,глобальный,160
16630,оптимистичные,26
16631,четырехкратный,28
16632,ключевыми,54
16633,интенсивное,143
16634,экономического,98
16635,государствах,108
16636,богатых,56
16637,неоднократно,300
16638,представляли,36
16639,передают,144
16640,иллюзия,28
16641,инфицированию,78
16642,мутациями,99
16643,дельта-вариантом,80
16644,распространителями,90
16645,сентябре-октябре,32
16646,фуцзянь,7
16647,отследили,63
16648,дельта-варианту,15
16649,умеренные,117
16650,включенные,40
16651,длинные,28
16652,школах,114
16653,распространилась,96
16654,взрослой,56
16655,основную,40
16656,попадут,21
16657,оплачивать,50
16658,сделано,112
16659,противопоказана,30
16660,первичную,63
16661,сингапур,40
16662,постепенной,22
16663,отмене,42
16664,разрешило,63
16665,совместные,40
16666,обеды,5
16667,ресторанах,30
16668,возобновления,26
16669,массовых,136
16670,допускаться,11
16671,сдачей,6
16672,маунт-синай,99
16673,ежегодной,81
16674,предпочитали,48
16675,инсультах,9
16676,вейпинг,7
16677,изделий,28
16678,спойлер,21
16679,увы,42
16680,содержащиеся,132
16681,ослаблять,54
16682,конечном,112
16683,атеросклерозу,52
16684,необратимое,33
16685,курению,77
16686,никотиновой,55
16687,шведские,88
16688,моментальные,12
16689,краткосрочные,26
16690,стабилизируется,60
16691,затяжек,7
16692,рт.ст,15
16693,преорального,12
16694,блокирующее,33
16695,протеазы,24
16696,ключевого,18
16697,ритонавира,20
16698,замедляет,90
16699,распад,6
16700,позволяя,48
16701,удерживаться,12
16702,принцип,126
16703,мощную,30
16704,противовирусную,75
16705,рекомендован,96
16706,подтвержденного,90
16707,разработчикам,39
16708,нежелательные,78
16709,независимых,110
16710,прекращает,20
16711,сомнений,88
16712,намерена,32
16713,экстренное,90
16714,массовое,168
16715,выпустить,54
16716,объемы,72
16717,организовать,192
16718,государства,517
16719,платить,77
16720,соглашения,60
16721,закупке,21
16722,странами,112
16723,переговоры,60
16724,государствами,65
16725,общественном,204
16726,каким-либо,70
16727,остановка,27
16728,коронарную,20
16729,ангиографию,22
16730,просвета,16
16731,приступом,18
16732,неинфицированными,17
16733,предстоит,270
16734,неспецифические,30
16735,мытье,85
16736,симптоматические,32
16737,простуде,80
16738,минерал,28
16739,демонстрировал,28
16740,метаанализы,11
16741,биодобавок,40
16742,устареть,8
16743,цинке,5
16744,простудных,100
16745,назальный,18
16746,предупредить,420
16747,пользовавшихся,28
16748,биоактивные,33
16749,облегчает,117
16750,среднюю,56
16751,суточную,24
16752,неубедительны,26
16753,риновирусами,48
16754,леденцов,16
16755,вызывал,21
16756,обнаруженная,12
16757,имеющиеся,216
16758,четкого,42
16759,рекомендуемой,52
16760,противоречивость,16
16761,возможного,150
16762,предпочесть,11
16763,неэффективны,48
16764,гонконгского,48
16765,азиатского,50
16766,мутировавшим,12
16767,зафиксирована,117
16768,возвращавшиеся,14
16769,унесла,42
16770,туберкулезом,168
16771,округах,42
16772,проживавших,44
16773,тенденции,108
16774,спутать,56
16775,соблюдался,10
16776,биологическом,26
16777,феномене,32
16778,генерализованный,16
16779,полученный,110
16780,выжившие,16
16781,врожденную,40
16782,позволила,99
16783,избирательное,26
16784,подготовленными,15
16785,техасского,90
16786,раковые,287
16787,ослабляет,36
16788,худших,24
16789,реабилитация,120
16790,выздоровлению,78
16791,злокачественными,464
16792,фрэнсиса,16
16793,титр,60
16794,оказывался,20
16795,чьих,4
16796,близкими,104
16797,прорывными,10
16798,постепенном,11
16799,ослаблении,40
16800,выснили,7
16801,индийский,72
16802,мутант,12
16803,альфа-вариантом,90
16804,хозяйств,16
16805,отмечалось,90
16806,тестовых,24
16807,мазках,66
16808,ослабевает,60
16809,несовершенен,24
16810,ключевым,32
16811,трехкратная,22
16812,подробности,110
16813,изучив,48
16814,обнадеживающие,210
16815,выработал,45
16816,рассчитывать,204
16817,четвертый,90
16818,массачусетской,112
16819,профиля,105
16820,вынашивала,30
16821,объективные,66
16822,подобраны,18
16823,пуповины,8
16824,существенные,192
16825,мальчиками,10
16826,мальчики,24
16827,девочками,18
16828,слабой,42
16829,перекрестное,24
16830,выработке,153
16831,коклюш,48
16832,неясным,21
16833,плаценту,56
16834,иммунотерапии,208
16835,обещающие,27
16836,диффузной,9
16837,глиомы,6
16838,сложностей,80
16839,научить,42
16840,повреждать,150
16841,истинно,7
16842,фундаментальное,15
16843,открыло,14
16844,выработаются,24
16845,альфа-лактальбумин,18
16846,концентрациях,78
16847,эпителии,16
16848,лактации,32
16849,опробовать,10
16850,лактация,8
16851,маловероятна,12
16852,высок,150
16853,подошли,7
16854,вплотную,24
16855,испытанию,9
16856,долгосрочная,48
16857,преобладают,33
16858,винсент,7
16859,туохи,5
16860,иисследовательского,19
16861,лернера,7
16862,создателей,30
16863,собираются,170
16864,предупреждении,126
16865,отсутствуют,209
16866,главные,112
16867,рассчитаны,40
16868,стимулируют,132
16869,эстроген,48
16870,прогестерон,55
16871,иммуногенности,70
16872,вылечены,8
16873,тройного,8
16874,обладать,32
16875,лактацию,16
16876,антидепрессант,28
16877,селективных,22
16878,улучшать,56
16879,руководстве,66
16880,коронавирусой,13
16881,национальных,264
16882,институтов,130
16883,указано,266
16884,флуоксамин,10
16885,начинали,88
16886,выздоровевший,91
16887,интересовало,72
16888,специализированная,54
16889,длительностью,13
16890,антидепрессаната,16
16891,исследованные,26
16892,дешевы,12
16893,просты,18
16894,текущих,70
16895,редакционном,12
16896,отавио,6
16897,бервангер,9
16898,альберта,32
16899,эйнштейна,9
16900,сан-пауло,9
16901,открытыми,81
16902,указал,84
16903,методами,344
16904,оптимальная,55
16905,схема,90
16906,неврологический,90
16907,гийена-барре,60
16908,параличу,16
16909,сопоставить,55
16910,востребованной,14
16911,первоначальные,56
16912,масштабными,33
16913,признали,104
16914,многочисленными,120
16915,паралич,84
16916,белла,10
16917,субарахноидальное,17
16918,миастению,18
16919,поступали,27
16920,майми,5
16921,обновляемой,11
16922,вносится,8
16923,привита,7
16924,расхождения,33
16925,швов,8
16926,предполагающие,14
16927,возможный,54
16928,артралгии,9
16929,заменяет,16
16930,действующими,12
16931,тагиофф,7
16932,выматывающая,12
16933,передовой,72
16934,заинтересованы,84
16935,сверхлюдьми,11
16936,рабочий,49
16937,подумывают,10
16938,увольнении,30
16939,огромных,24
16940,перегрузок,20
16941,полушаге,8
16942,начальство,20
16943,старается,99
16944,добрым,12
16945,словом,48
16946,длинным,28
16947,рублем,6
16948,сферах,12
16949,морально,64
16950,финансово,27
16951,любят,65
16952,региональные,180
16953,всероссийский,26
16954,поводов,28
16955,недовольства,12
16956,знаменитую,20
16957,слышали,70
16958,абсолютное,30
16959,ковид-госпиталей,32
16960,моральное,18
16961,сказаться,27
16962,оказываемой,11
16963,придерживаются,126
16964,сфер,8
16965,сопереживать,24
16966,сочувствовать,13
16967,вовлекаться,11
16968,черствыми,9
16969,страдания,27
16970,трогают,14
16971,плановый,24
16972,изменили,88
16973,чуткими,7
16974,сочувствуют,11
16975,выгорания,18
16976,уважения,32
16977,профессии,162
16978,признание,63
16979,личные,48
16980,благодарности,39
16981,объявления,30
16982,амстердама,20
16983,теориям,35
16984,спросили,40
16985,оружием,49
16986,всемирным,27
16987,прав,80
16988,свобод,12
16989,нарушают,48
16990,доверяет,16
16991,фейковым,8
16992,новостях,32
16993,чипирование,11
16994,вышки,10
16995,комнатные,18
16996,верит,30
16997,ковид-диссиденты,32
16998,избегали,16
16999,соблюдения,160
17000,придерживался,26
17001,откажутся,9
17002,многолюдной,22
17003,вечеринки,36
17004,сторонники,60
17005,постоянного,88
17006,напряженные,22
17007,неправдоподобна,15
17008,логики,12
17009,параметрами,22
17010,отмерших,16
17011,капилляров,40
17012,экспериментов,325
17013,уничтожать,90
17014,зонам,10
17015,когнитивным,33
17016,нарушениям,140
17017,нейродегенеративных,57
17018,моделях,56
17019,обратимым,27
17020,вынос,30
17021,северно-западного,17
17022,произошла,144
17023,мербековирусом,14
17024,ближневосточный,165
17025,респираторный,143
17026,мыши,108
17027,перекрестный,24
17028,генетически,253
17029,двоюродные,20
17030,братья,12
17031,убедительные,168
17032,развеяют,8
17033,опровергло,20
17034,привлекательную,15
17035,пенсильванского,75
17036,уменьшили,9
17037,перспективу,22
17038,универсальных,26
17039,одних,90
17040,семейств,16
17041,эпидемиях,18
17042,аннунциата,10
17043,всемирного,110
17044,невролог,96
17045,мартина,7
17046,пьетро,6
17047,кардиоэмболия,13
17048,гипереагрегируемости,20
17049,антиагреганты,13
17050,кроверазжижающей,16
17051,вафарина,8
17052,увеличивали,55
17053,стеноз,30
17054,сонной,6
17055,комбинаций,40
17056,выводами,88
17057,посмертных,10
17058,шейно-мозговой,14
17059,этиологической,42
17060,наибольший,140
17061,удельный,56
17062,респираторно-синцитиальный,130
17063,выделялся,18
17064,эпидемические,26
17065,полиэтиологическая,18
17066,тридцатидневная,15
17067,возвращение,99
17068,коинфекция,20
17069,нейро-дегенеративные,20
17070,шведских,48
17071,сингапурских,12
17072,присоединение,39
17073,вторичной,36
17074,пневмококковой,70
17075,фагоцитарную,24
17076,макрофаги,36
17077,нейтрофилы,60
17078,оказываются,275
17079,неспособны,30
17080,эпителиальный,26
17081,восприимчивым,52
17082,мышам,40
17083,неинфицированным,16
17084,пневмококков,24
17085,"раз[5,6]",8
17086,негриппозной,12
17087,наз,12
17088,30-дневная,10
17089,риновируса/энтеровируса,23
17090,респираторно-синцитиального,54
17091,вышеупомянутые,14
17092,метапневмовирус,30
17093,аденовирус,90
17094,иммунодефицитными,34
17095,пропали,28
17096,озаботить,9
17097,феноменом,45
17098,удельного,18
17099,эндемичных,40
17100,эпидсезоне,30
17101,сократилось,132
17102,тысячу,54
17103,аналогичный,209
17104,эпидсезона,40
17105,отмечен,70
17106,ю.корее,7
17107,метапневмовирусов,17
17108,рс-вирусов,10
17109,традиционнными,14
17110,детскими,40
17111,паротитом,18
17112,оспой,20
17113,краснухой,18
17114,«свинкой,8
17115,менингококковой,60
17116,гепатитом,180
17117,клещевым,32
17118,биологического,84
17119,затронувшие,11
17120,механизме,81
17121,интерференции,26
17122,антагонистическое,17
17123,иными,65
17124,словами,203
17125,невосприимчивости,17
17126,пораженной,60
17127,риновирусная,24
17128,стимулируя,60
17129,иммунологический,144
17130,аттенуированной,15
17131,репликация,70
17132,номер,50
17133,бцж,33
17134,кальмет-жирена,14
17135,тренированным,26
17136,исследователями,165
17137,соавторами,30
17138,высказали,90
17139,предположение,325
17140,тренированного,14
17141,задают,36
17142,четкий,36
17143,аргументированный,17
17144,научно-обоснованный,19
17145,индукции,16
17146,гуморального,48
17147,активирующее,12
17148,эффекторы,9
17149,nk-клеток,63
17150,b-лимфоцитов,24
17151,цитотоксических,45
17152,т-лимфоцитов,180
17153,активируют,30
17154,дендритные,30
17155,миелоидного,11
17156,лимфоидного,11
17157,устойчивую,60
17158,предэпидемическом,17
17159,однозначна,10
17160,…вакцинация,22
17161,подвергающихся,28
17162,некоторой,45
17163,рекомбинатный,13
17164,щит,6
17165,межвакцинный,12
17166,поствакцинный,39
17167,вируснейтрализирующие,21
17168,формируются,22
17169,напрашивается,26
17170,изумительная,12
17171,вышла,75
17172,пера,4
17173,отечественных,221
17174,представивших,13
17175,ректальные,110
17176,суппозитории,216
17177,склонные,8
17178,интерферонового,90
17179,восполнении,11
17180,белка-интерферона,17
17181,небезосновательно,17
17182,многолетняя,22
17183,практика,192
17184,недоношенных,36
17185,реестра,56
17186,основываться,36
17187,высокоактивных,14
17188,компонентов,187
17189,комплексным,11
17190,содержащим,40
17191,нативный,16
17192,витамини,8
17193,купирует,8
17194,ринореи,14
17195,небных,12
17196,миндалин,48
17197,быстрый,84
17198,усиленная,9
17199,элиминация,20
17200,виферон®в,9
17201,наружного,63
17202,ме/г,8
17203,тампоном,16
17204,слизистую,162
17205,авторам,35
17206,литературы,190
17207,телеш,5
17208,м.а,6
17209,алдохина,8
17210,е.о,3
17211,сравнительная,39
17212,//смоленский,12
17213,"альманах,-2020",14
17214,с.270-273,9
17215,удк,3
17216,рябиченко,9
17217,т.и,6
17218,скосырева,9
17219,г.а,3
17220,обухова,7
17221,о.о,3
17222,курская,7
17223,о.г,3
17224,косьянова,9
17225,т.г,3
17226,горбенко,8
17227,о.м,3
17228,шваюк,5
17229,а.п,15
17230,этиологическая,42
17231,эл.ресурс,9
17232,м.п,12
17233,хромова,7
17234,е.а,9
17235,а.м,3
17236,режимдоступа,12
17237,савенкова,9
17238,м.с,3
17239,савенков,16
17240,альфа-2bв,9
17241,сафина,12
17242,шарипова,16
17243,о.в,12
17244,лутфуллин,18
17245,и.я,6
17246,о.с,6
17247,даминова,16
17248,интерферонов,144
17249,//медицинский,13
17250,бетесде,14
17251,47-летняя,9
17252,госпитализирована,102
17253,очередного,60
17254,дал,42
17255,ложно-положительный,19
17256,возросла,64
17257,клеточную,63
17258,основанную,30
17259,помогло,140
17260,в-клеток,16
17261,участвующих,143
17262,неубиваемого,24
17263,легочные,32
17264,пришелся,88
17265,получал,168
17266,химиотерапию,216
17267,оставалась,160
17268,b-клеточной,11
17269,лейкемией,45
17270,b-клетки,32
17271,наращивать,60
17272,путин,40
17273,упомянув,8
17274,переболеть,70
17275,поддержал,72
17276,предложение,154
17277,вице-премьера,52
17278,голиковой,27
17279,предоставлении,56
17280,выходных,56
17281,работающим,60
17282,введении,160
17283,домашнего,45
17284,работодатели,60
17285,дистанционную,52
17286,антирекорд,30
17287,участились,40
17288,оренбургской,36
17289,аппарате,64
17290,накопленная,11
17291,превысила,72
17292,актов,15
17293,гражданского,48
17294,егр,6
17295,загс,12
17296,наблюдался,170
17297,простудились,12
17298,больничного,22
17299,займет,72
17300,специфического,182
17301,оговорками,20
17302,препятствие,33
17303,случайно,184
17304,чихнувшего,20
17305,проходных,9
17306,критической,55
17307,встречайте,10
17308,антивирусный,12
17309,функцией,24
17310,действуют,288
17311,локально,24
17312,микробам,16
17313,октенидина,10
17314,дигидрохлорида,14
17315,гидроксиэтилцеллюлозы,21
17316,декспантенола,13
17317,выпускают,27
17318,торговым,40
17319,ос34,8
17320,производители,260
17321,антисептическими,16
17322,увлажняют,9
17323,задерживает,33
17324,частички,40
17325,реснитчатых,11
17326,микроклеток,11
17327,местамидин-нос,14
17328,физический,60
17329,суше,8
17330,холоднее,24
17331,охлаждаются,11
17332,физиологический,60
17333,микроклимат,33
17334,крепче,24
17335,кожные,54
17336,неживых,7
17337,поверхностей,120
17338,телефона,80
17339,дверных,21
17340,ручек,15
17341,научное,70
17342,изучать,140
17343,дезинфектанты,13
17344,сложилось,27
17345,антисептиков,72
17346,приветствуется,14
17347,уберечься,36
17348,микробами,36
17349,критике,70
17350,единогласно,11
17351,правил,138
17352,нелишним,8
17353,вирусоносителям,15
17354,годятся,35
17355,тканевые,48
17356,трогать,119
17357,два-три,91
17358,увлажнения,10
17359,спешить,7
17360,отказываться,216
17361,распространить,42
17362,дельта-штамма,26
17363,подхватить,100
17364,мал,15
17365,меняется,200
17366,небезопасным,24
17367,усиливается,99
17368,передвигаются,26
17369,разговаривают,13
17370,диалог,42
17371,лицом,50
17372,метров,120
17373,безопасным,80
17374,вытянутым,9
17375,рукам,10
17376,выдержать,36
17377,невыполнимой,12
17378,настаивают,70
17379,домашними,27
17380,вразрез,7
17381,реалиями,16
17382,гигиене,21
17383,барьерных,18
17384,зож,9
17385,укрепляемся,11
17386,изнутри,70
17387,главную,56
17388,простудами,10
17389,короной,14
17390,простое,84
17391,инфографикой,24
17392,текстом,21
17393,порция,30
17394,фрукт,15
17395,горсть,12
17396,ягод,8
17397,пара-тройка,11
17398,тушеных,7
17399,питьевой,32
17400,противопоказаний,192
17401,рекомендуются,130
17402,распространена,126
17403,бессимптомных,455
17404,антитромбоцитарные,36
17405,стабильных,10
17406,стабильными,44
17407,когортах,24
17408,симптоматической,64
17409,стабильной,40
17410,улучшении,63
17411,экстренно,45
17412,рецептурных,33
17413,аналогичным,154
17414,беларусь,8
17415,угасание,8
17416,поставила,90
17417,пояснили,40
17418,преддверии,130
17419,перебоев,32
17420,люксембург,10
17421,сопровождалось,42
17422,снятия,60
17423,оказание,112
17424,фармацевтической,176
17425,анализирует,132
17426,внешними,32
17427,голод,40
17428,катастрофы,70
17429,составит,96
17430,худшем,24
17431,оптимистичном,13
17432,алексея,91
17433,ракши,5
17434,европейских,264
17435,бедственных,11
17436,албании,7
17437,македонии,9
17438,накопленной,11
17439,сравнялась,20
17440,гватемалой,10
17441,казахстаном,11
17442,обгоняют,8
17443,перу,4
17444,эквадор,7
17445,боливия,7
17446,парагвай,8
17447,иран,24
17448,рождаемости,22
17449,родившихся,150
17450,материнского,24
17451,капитала,24
17452,рождаемость,44
17453,журналисты,130
17454,сертификатов,60
17455,выданных,24
17456,госуслугах,10
17457,операштаба,10
17458,аналитик,32
17459,драган,24
17460,августа,189
17461,оперштаб,72
17462,срезали,14
17463,драгана,7
17464,умирало,14
17465,масштабам,18
17466,антирекорды,22
17467,недоступна,30
17468,марихуаны,45
17469,зависимых,9
17470,каннабиса,18
17471,злоупотряблять,14
17472,противопоказан,42
17473,алкоголизм,60
17474,наркомания,30
17475,указанной,54
17476,зависимостей,12
17477,уязвимой,16
17478,зависимостями,13
17479,упоминаются,11
17480,однокомпонентные,16
17481,регданвимаб,11
17482,бамланивимаб+этесевимабом,25
17483,касиривимаб+имдевимабом,23
17484,допускает,63
17485,комиссии,72
17486,разрешения,130
17487,временное,90
17488,обращение,90
17489,чрезвычайной,48
17490,позднее,161
17491,7-го,4
17492,родившим,8
17493,приоритетным,36
17494,подтвердившие,26
17495,фуфломицины,11
17496,небезопасные,24
17497,23-го,10
17498,запоздалым,20
17499,способно,96
17500,производятся,120
17501,запаздывает,33
17502,госпитализированным,133
17503,касиривимаб,33
17504,идевимаб,16
17505,различного,30
17506,сероположительная,51
17507,отсутствовали,52
17508,сероотрицательная,51
17509,экспериментальное,204
17510,сероположительных,102
17511,уменьшило,9
17512,угрозах,7
17513,адаптивного,11
17514,психики,56
17515,принести,120
17516,снимет,12
17517,неопределенности,112
17518,бесконечный,33
17519,скроллинг,9
17520,чьих-то,7
17521,личных,72
17522,потерях,14
17523,усугубят,8
17524,основывались,48
17525,опросах,14
17526,самооценке,10
17527,необъективными,14
17528,реального,90
17529,читали,24
17530,оттенком,32
17531,принарядился,12
17532,онлайн-занятий,14
17533,99-летняя,9
17534,бабушка,49
